titulo,texto,categoria
Orquestacion de contenedores con Kubernetes,"Despliegue de aplicaciones en un cluster de Kubernetes utilizando pods, deployments y services, configuracion de escalado automatico y gestion de secretos y variables de entorno.",DevOps
Integracion continua con GitHub Actions,"Automatizacion de la compilacion y las pruebas de un proyecto mediante flujos de trabajo de GitHub Actions, definicion de jobs, cacheo de dependencias y publicacion de artefactos.",DevOps
Infraestructura como codigo con Terraform,"Definicion declarativa de recursos de nube mediante Terraform, gestion del estado remoto, uso de modulos reutilizables y aplicacion de cambios de infraestructura de forma reproducible.",DevOps
Monitoreo y observabilidad de servicios,"Instrumentacion de aplicaciones para exponer metricas, recoleccion centralizada de logs, trazas distribuidas y configuracion de alertas basadas en indicadores de nivel de servicio.",DevOps
Despliegue continuo en la nube,"Diseno de una canalizacion de entrega continua que construye la imagen del contenedor, la publica en un registro y actualiza el servicio en produccion sin interrumpir a los usuarios.",DevOps
Gestion de secretos y configuracion por entorno,"Practicas para separar la configuracion del codigo, inyectar credenciales mediante variables de entorno o un gestor de secretos y evitar exponer claves en el repositorio.",DevOps
Scripts de automatizacion en Linux,"Uso de la linea de comandos y scripts de shell para automatizar tareas de servidor, programar trabajos periodicos con cron, rotar logs y administrar permisos y procesos del sistema.",DevOps
Analisis exploratorio de datos con Pandas,"Carga, limpieza y exploracion de conjuntos de datos tabulares usando Pandas, tratamiento de valores nulos, agrupaciones, uniones entre tablas y calculo de estadisticas descriptivas.",Ciencia de Datos
Clasificacion de texto con TF-IDF,"Vectorizacion de documentos mediante frecuencia de terminos e inversa de documento, entrenamiento de un clasificador de regresion logistica y evaluacion con matriz de confusion.",Ciencia de Datos
Introduccion al aprendizaje automatico supervisado,"Conceptos fundamentales del aprendizaje supervisado, division entre conjunto de entrenamiento y prueba, sobreajuste, validacion cruzada y seleccion de metricas segun el problema.",Ciencia de Datos
Procesamiento de lenguaje natural,"Tecnicas para tratar texto en lenguaje natural, tokenizacion, eliminacion de palabras vacias, lematizacion, representaciones vectoriales y medidas de similitud entre documentos.",Ciencia de Datos
Agrupamiento de documentos con K-Means,"Aplicacion de algoritmos de agrupamiento no supervisado para descubrir temas similares en una coleccion de textos, seleccion del numero de grupos y evaluacion con el coeficiente de silueta.",Ciencia de Datos
Visualizacion de datos con Matplotlib,"Creacion de graficos para comunicar hallazgos a partir de un conjunto de datos, eleccion del tipo de grafico segun la variable, escalas apropiadas y anotaciones que resalten el mensaje.",Ciencia de Datos
Metricas de evaluacion de modelos,"Comparacion entre exactitud, precision, exhaustividad y puntuacion F1, y criterios para elegir la metrica adecuada cuando las clases del conjunto de datos estan desbalanceadas.",Ciencia de Datos
Sistemas de recomendacion basados en contenido,"Construccion de un recomendador que sugiere elementos similares calculando la similitud del coseno entre vectores de caracteristicas extraidos de las descripciones de cada elemento.",Ciencia de Datos
Desarrollo de aplicaciones Android con Kotlin,"Creacion de una aplicacion movil nativa para Android usando Kotlin, definicion de actividades, diseno de pantallas con Jetpack Compose y navegacion entre vistas de la aplicacion.",Moviles
Introduccion a Flutter,"Desarrollo de aplicaciones moviles multiplataforma con Flutter y Dart, composicion de widgets, manejo del estado de la interfaz y compilacion para Android e iOS desde una sola base de codigo.",Moviles
Ciclo de vida de una aplicacion iOS,"Estados por los que pasa una aplicacion iOS desde su lanzamiento hasta su suspension, gestion de memoria, permisos del sistema y almacenamiento local de datos del usuario en el dispositivo.",Moviles
Consumo de servicios REST desde una app movil,"Integracion de una aplicacion movil con una API remota, serializacion de respuestas JSON, manejo de la ausencia de conectividad y almacenamiento en cache para uso sin conexion.",Moviles
Notificaciones push en dispositivos moviles,"Configuracion del envio de notificaciones push a telefonos, registro del dispositivo en el servicio de mensajeria, segmentacion de audiencias y medicion de la tasa de apertura.",Moviles
Diseno de interfaces moviles responsivas,"Adaptacion de la interfaz de una aplicacion movil a distintos tamanos de pantalla y orientaciones, uso de componentes nativos y respeto de las guias de diseno de cada plataforma.",Moviles
Publicacion de aplicaciones en las tiendas,"Proceso de firma, empaquetado y publicacion de una aplicacion en Google Play y App Store, gestion de versiones, pruebas beta con usuarios y respuesta a los rechazos de revision.",Moviles
Pruebas automatizadas en aplicaciones moviles,"Estrategias para probar una aplicacion movil, pruebas unitarias de la logica, pruebas de interfaz automatizadas sobre emuladores y ejecucion de la suite dentro de una canalizacion.",Moviles
Fundamentos de SQL,"Consultas sobre bases de datos relacionales utilizando SELECT, filtros con WHERE, agrupaciones con GROUP BY, uniones entre tablas y ordenamiento de los resultados obtenidos.",Bases de Datos
Modelado relacional y normalizacion,"Diseno de un esquema de base de datos relacional, identificacion de entidades y relaciones, definicion de claves primarias y foraneas y aplicacion de las formas normales.",Bases de Datos
Indices y optimizacion de consultas,"Como funcionan los indices en un motor de base de datos, lectura del plan de ejecucion de una consulta lenta y decisiones sobre que columnas conviene indexar y cuales no.",Bases de Datos
Bases de datos NoSQL orientadas a documentos,"Almacenamiento de informacion en documentos flexibles con MongoDB, diseno de esquemas desnormalizados, consultas por campos anidados y criterios para elegir NoSQL frente a un modelo relacional.",Bases de Datos
Transacciones y propiedades ACID,"Garantias de atomicidad, consistencia, aislamiento y durabilidad en una base de datos, niveles de aislamiento, bloqueos concurrentes y prevencion de lecturas sucias entre transacciones.",Bases de Datos
Migraciones de esquema versionadas,"Gestion de los cambios de estructura de una base de datos mediante scripts de migracion versionados, aplicacion automatica durante el despliegue y estrategias de reversion segura.",Bases de Datos
Respaldo y recuperacion de datos,"Politicas de copia de seguridad de una base de datos, respaldos completos e incrementales, verificacion periodica de la restauracion y definicion del objetivo de punto de recuperacion.",Bases de Datos
Uso de Redis como cache en memoria,"Almacenamiento clave valor en memoria con Redis para reducir la carga sobre la base de datos principal, definicion de tiempos de expiracion y estrategias de invalidacion de la cache.",Bases de Datos
Introduccion a la seguridad de aplicaciones web,"Panorama de las vulnerabilidades mas comunes en aplicaciones web segun el OWASP Top Ten, su impacto en el negocio y las contramedidas basicas que todo equipo deberia aplicar.",Seguridad
Prevencion de inyeccion SQL,"Como se produce un ataque de inyeccion sobre una consulta a base de datos, uso de sentencias preparadas y parametrizadas, validacion de entrada y principio de minimo privilegio.",Seguridad
Cifrado y almacenamiento seguro de contrasenas,"Uso de funciones de derivacion de clave con sal para almacenar contrasenas, diferencia entre cifrado y hash, y rotacion de claves criptograficas dentro de una aplicacion.",Seguridad
Control de acceso basado en roles,"Diseno de un modelo de autorizacion por roles y permisos, verificacion del acceso en cada endpoint del servidor y registro de auditoria de las acciones sensibles de los usuarios.",Seguridad
Seguridad en la cadena de suministro de software,"Riesgos derivados de las dependencias de terceros, analisis automatico de vulnerabilidades conocidas, fijado de versiones y verificacion de la integridad de los artefactos publicados.",Seguridad
Proteccion contra Cross Site Scripting,"Como un atacante inyecta scripts en una pagina web, escapado correcto de la salida, politica de seguridad de contenido y validacion de la entrada proveniente del usuario.",Seguridad
Gestion de certificados y HTTPS,"Configuracion de TLS en un servidor web, obtencion y renovacion automatica de certificados, redireccion del trafico no cifrado y verificacion de la cadena de confianza del certificado.",Seguridad
Pruebas de penetracion y analisis de vulnerabilidades,"Metodologia para evaluar la seguridad de un sistema mediante pruebas controladas, reconocimiento, explotacion de fallos identificados y elaboracion del informe de hallazgos priorizados.",Seguridad
